city,district,property_type,area_m2,price_syp,price_usd,source,created_at
rif dimashq,jaramana,land,421,920592005,,seed,2026-01-24T13:40:45.557Z
damascus,malki,villa,184,2250213786,,seed,2026-01-31T17:45:24.557Z
rif dimashq,mleiha,apartment,173,613669344,,seed,2026-01-16T06:02:47.557Z
rif dimashq,artouz,house,101,498353011,,seed,2025-11-10T10:58:37.557Z
damascus,mazzeh,house,171,800610797,,seed,2026-02-02T14:01:13.557Z
damascus,hay al ameen,studio,28,411068287,,seed,2026-01-29T17:30:20.557Z
rif dimashq,jaramana,apartment,169,378757598,,seed,2026-01-01T09:03:33.557Z
damascus,midan,apartment,136,304968701,,seed,2025-11-26T05:25:38.557Z
damascus,baghdad,apartment,190,1890390043,,seed,2025-12-08T03:41:23.557Z
damascus,shaalaan,apartment,212,2023089086,,seed,2025-12-11T18:12:23.557Z
damascus,rukn al-din,land,131,172674375,,seed,2026-02-11T23:16:40.557Z
damascus,hay al ameen,villa,482,6698878857,,seed,2026-01-09T19:50:43.557Z
damascus,malki,land,701,3994318629,,seed,2025-12-14T04:38:21.557Z
rif dimashq,sahnaya,apartment,159,829757781,,seed,2026-01-10T22:19:48.557Z
damascus,mashrou dummar,studio,38,430907334,,seed,2025-11-15T02:35:38.557Z
damascus,muhajireen,apartment,144,1564865419,,seed,2026-02-09T19:08:50.557Z
damascus,malki,house,252,2476644050,,seed,2025-12-15T17:07:05.557Z
damascus,shaalaan,apartment,219,2830591515,,seed,2025-12-24T06:33:47.557Z
damascus,malki,apartment,101,1179328108,,seed,2025-11-05T18:01:38.557Z
rif dimashq,sahnaya,apartment,166,1217416795,,seed,2026-02-01T17:40:10.557Z
damascus,kafr sousa,apartment,137,679429366,,seed,2025-11-11T13:15:13.557Z
damascus,malki,apartment,151,1561396756,,seed,2025-12-18T21:18:50.557Z
damascus,kafr sousa,apartment,207,1097110384,,seed,2025-11-11T08:18:45.557Z
damascus,mazzeh,apartment,80,516293284,,seed,2025-11-18T06:57:29.557Z
damascus,mazzeh,apartment,178,1246976233,,seed,2025-12-11T03:51:03.557Z
rif dimashq,jaramana,house,117,234630727,,seed,2025-12-02T01:47:52.557Z
rif dimashq,jaramana,land,415,586024339,,seed,2025-11-19T08:09:53.557Z
damascus,muhajireen,apartment,123,1411287476,,seed,2026-01-06T08:22:26.557Z
rif dimashq,jadidat al sheibani,land,808,2670714487,,seed,2025-11-16T18:31:53.557Z
rif dimashq,artouz,apartment,92,587916136,,seed,2026-01-17T09:37:57.557Z
damascus,hay al ameen,house,103,984518496,,seed,2026-02-16T22:42:11.557Z
damascus,abu rummaneh,apartment,176,1414980960,,seed,2025-12-10T23:15:45.557Z
damascus,khaled ibn al walid,house,99,603214771,,seed,2026-01-31T19:55:20.557Z
damascus,shaalaan,apartment,113,1213975724,,seed,2025-11-04T20:23:28.557Z
rif dimashq,jaramana,apartment,126,381296491,,seed,2026-02-14T10:40:06.557Z
rif dimashq,jadidat al sheibani,apartment,145,627887700,,seed,2025-11-24T11:18:52.557Z
rif dimashq,sahnaya,apartment,160,926673873,,seed,2026-01-08T02:21:04.557Z
rif dimashq,jadidat al sheibani,apartment,121,740075459,,seed,2025-11-11T00:08:37.557Z
rif dimashq,qudsaya project,apartment,114,1117623448,,seed,2025-12-06T21:16:31.557Z
damascus,baghdad,apartment,78,906181773,,seed,2025-12-08T04:49:45.557Z
damascus,kafr sousa,apartment,206,1385277237,,seed,2025-11-15T20:11:17.557Z
damascus,mashrou dummar,studio,51,492813431,,seed,2025-12-03T17:55:41.557Z
rif dimashq,darayya,house,230,858470400,,seed,2026-02-20T22:19:22.557Z
damascus,abu rummaneh,apartment,165,1428499275,,seed,2025-11-15T04:21:53.557Z
damascus,shaalaan,apartment,153,1893040149,,seed,2025-12-30T10:52:02.557Z
damascus,abu rummaneh,apartment,204,1581664787,,seed,2026-02-20T20:54:02.557Z
damascus,khaled ibn al walid,apartment,213,1288841657,,seed,2025-11-29T20:15:51.557Z
damascus,malki,apartment,190,2042089559,,seed,2026-02-02T18:22:57.557Z
damascus,mashrou dummar,apartment,172,1302045632,,seed,2026-02-18T15:27:43.557Z
damascus,shaalaan,apartment,133,1398741100,,seed,2025-11-08T22:49:36.557Z
damascus,kafr sousa,apartment,94,439979706,,seed,2025-11-28T05:39:07.557Z
rif dimashq,darayya,apartment,120,461894400,,seed,2025-11-19T09:47:18.557Z
rif dimashq,jaramana,apartment,103,250933176,,seed,2025-11-14T00:44:23.557Z
damascus,rukn al-din,apartment,192,626869439,,seed,2025-11-07T10:36:33.557Z
damascus,khaled ibn al walid,apartment,96,1125091196,,seed,2026-02-14T18:28:23.557Z
rif dimashq,qudsaya project,land,327,1715477079,,seed,2025-12-08T18:06:40.557Z
rif dimashq,jaramana,apartment,97,259489966,,seed,2025-12-09T18:48:52.557Z
damascus,hay al ameen,house,245,1796852710,,seed,2025-12-31T22:50:58.557Z
rif dimashq,mleiha,apartment,203,455261145,,seed,2025-11-19T11:21:13.557Z
damascus,rukn al-din,studio,34,111712421,,seed,2025-11-09T22:52:05.557Z
damascus,baghdad,apartment,211,2168346657,,seed,2025-11-24T22:10:20.557Z
damascus,rukn al-din,studio,60,189160120,,seed,2026-02-24T10:53:35.557Z
rif dimashq,jadidat al sheibani,studio,54,258809580,,seed,2025-12-01T09:19:54.557Z
rif dimashq,mleiha,land,749,1497244844,,seed,2025-12-29T05:02:15.557Z
damascus,shaalaan,studio,45,454828641,,seed,2026-03-02T20:41:44.557Z
damascus,muhajireen,apartment,209,2198656003,,seed,2025-12-10T01:19:24.557Z
rif dimashq,qudsaya project,house,205,1675551261,,seed,2025-12-04T17:21:50.557Z
damascus,rukn al-din,apartment,77,256143591,,seed,2025-12-24T15:58:41.557Z
damascus,rukn al-din,apartment,146,469647804,,seed,2025-12-16T03:40:45.557Z
rif dimashq,mleiha,apartment,158,389188614,,seed,2025-12-02T16:06:24.557Z
damascus,mazzeh,house,257,1490391109,,seed,2025-12-10T01:25:26.557Z
damascus,malki,villa,295,3701989625,,seed,2026-01-08T14:13:48.557Z
rif dimashq,mleiha,studio,30,95101270,,seed,2025-11-11T00:10:08.557Z
damascus,muhajireen,apartment,208,2244670982,,seed,2026-01-10T11:13:05.557Z
damascus,mazzeh,apartment,195,971238607,,seed,2025-12-10T14:55:38.557Z
damascus,rukn al-din,apartment,92,261945107,,seed,2025-12-13T21:19:22.557Z
rif dimashq,jaramana,apartment,189,515333217,,seed,2026-02-18T17:04:46.557Z
damascus,hay al ameen,studio,54,384827868,,seed,2026-02-10T04:36:36.557Z
rif dimashq,jaramana,house,257,719492857,,seed,2025-12-08T00:34:23.557Z
damascus,kafr sousa,villa,469,4308566338,,seed,2026-01-30T11:27:00.557Z
damascus,hay al ameen,studio,25,183300000,,seed,2025-12-07T12:16:04.557Z
damascus,hay al ameen,apartment,187,2147347146,,seed,2026-01-29T13:38:28.557Z
rif dimashq,artouz,house,295,1187841622,,seed,2026-02-10T05:05:58.557Z
damascus,shaalaan,apartment,200,1882379860,,seed,2026-02-24T20:28:57.557Z
damascus,muhajireen,apartment,122,1369964029,,seed,2025-12-04T22:00:05.557Z
damascus,shaalaan,house,95,927263483,,seed,2026-03-02T18:19:32.557Z
damascus,kafr sousa,land,588,1752408663,,seed,2026-01-25T09:36:24.557Z
rif dimashq,jaramana,land,659,822926250,,seed,2025-11-25T18:35:40.557Z
rif dimashq,artouz,studio,29,212313689,,seed,2025-11-20T10:08:47.557Z
damascus,kafr sousa,studio,48,306449084,,seed,2025-12-03T07:51:15.557Z
rif dimashq,jaramana,apartment,172,410564057,,seed,2025-12-29T19:36:55.557Z
damascus,mashrou dummar,land,362,1890821216,,seed,2026-02-01T03:54:52.557Z
rif dimashq,qudsaya project,apartment,198,1760904757,,seed,2026-01-18T04:10:19.557Z
rif dimashq,artouz,villa,317,3090345010,,seed,2026-02-09T19:47:14.557Z
rif dimashq,jadidat al sheibani,house,116,648749378,,seed,2026-01-19T09:00:03.557Z
damascus,malki,villa,219,4186404000,,seed,2026-01-12T08:57:17.557Z
rif dimashq,sahnaya,house,214,774188351,,seed,2025-12-23T06:19:11.557Z
rif dimashq,jaramana,land,896,1604102962,,seed,2025-12-28T17:51:52.557Z
damascus,rukn al-din,house,166,596106000,,seed,2026-01-09T16:12:17.557Z
rif dimashq,artouz,apartment,84,461614804,,seed,2025-11-07T18:17:13.557Z
rif dimashq,jaramana,apartment,77,223114983,,seed,2026-02-10T00:29:41.557Z
rif dimashq,harasta,apartment,150,395053127,,seed,2025-12-06T20:32:20.557Z
rif dimashq,jaramana,house,252,616299771,,seed,2026-02-02T07:57:04.557Z
rif dimashq,sahnaya,apartment,197,1067971455,,seed,2026-01-05T08:49:07.557Z
damascus,midan,studio,26,97640476,,seed,2026-02-24T14:55:34.557Z
damascus,muhajireen,house,135,851937144,,seed,2026-02-09T09:34:07.557Z
damascus,malki,apartment,175,1523589471,,seed,2026-02-02T00:32:23.557Z
rif dimashq,sahnaya,land,247,532191413,,seed,2025-12-28T20:14:59.557Z
damascus,shaalaan,apartment,211,2305963476,,seed,2026-02-09T15:08:44.557Z
rif dimashq,mleiha,land,750,1145408504,,seed,2026-01-31T17:31:29.557Z
rif dimashq,sahnaya,house,134,601809332,,seed,2025-12-07T07:16:24.557Z
damascus,muhajireen,apartment,219,1902488877,,seed,2026-02-08T14:25:18.557Z
damascus,mazzeh,apartment,104,882580595,,seed,2025-11-15T22:20:02.557Z
damascus,malki,land,808,4298820210,,seed,2026-02-25T23:19:57.557Z
rif dimashq,mleiha,land,392,467754000,,seed,2025-12-26T18:38:13.557Z
rif dimashq,jaramana,apartment,83,193376477,,seed,2025-12-11T01:16:23.557Z
damascus,mashrou dummar,apartment,123,1155478672,,seed,2026-02-16T10:31:59.557Z
damascus,kafr sousa,studio,39,195607118,,seed,2025-11-13T08:36:54.557Z
damascus,mashrou dummar,apartment,121,1238891323,,seed,2026-02-11T21:10:33.557Z
damascus,shaalaan,villa,485,6341919743,,seed,2026-02-07T16:08:28.557Z
damascus,rukn al-din,studio,56,173655005,,seed,2025-12-30T08:56:11.557Z
damascus,mashrou dummar,apartment,133,1009183939,,seed,2026-01-26T17:25:23.557Z
damascus,malki,apartment,190,1724583733,,seed,2026-01-07T21:38:40.557Z
damascus,rukn al-din,apartment,88,342868680,,seed,2026-01-22T05:52:18.557Z
rif dimashq,mleiha,house,144,362760682,,seed,2025-12-26T07:45:29.557Z
damascus,abu rummaneh,apartment,81,1045460524,,seed,2025-12-05T12:27:14.557Z
damascus,kafr sousa,villa,471,4384614775,,seed,2025-11-28T06:27:08.557Z
damascus,rukn al-din,apartment,213,529246759,,seed,2025-11-23T08:21:36.557Z
damascus,malki,apartment,162,1512069701,,seed,2026-01-25T17:25:26.557Z
damascus,mazzeh,villa,206,1491958365,,seed,2025-11-29T16:10:24.557Z
damascus,midan,apartment,180,559908033,,seed,2026-01-03T21:28:19.557Z
rif dimashq,artouz,apartment,201,814706128,,seed,2025-12-31T22:46:49.557Z
damascus,hay al ameen,apartment,219,1735385120,,seed,2026-01-30T16:25:18.557Z
damascus,kafr sousa,apartment,139,897627447,,seed,2025-12-21T22:37:06.557Z
damascus,mashrou dummar,villa,254,4369917600,,seed,2026-02-27T20:01:37.557Z
rif dimashq,qudsaya project,apartment,166,1270758913,,seed,2026-03-03T01:18:57.557Z
damascus,muhajireen,house,163,1361639893,,seed,2025-12-12T03:46:00.557Z
damascus,malki,apartment,86,911645754,,seed,2025-12-18T18:45:45.557Z
rif dimashq,harasta,apartment,171,366519622,,seed,2026-03-01T14:06:37.557Z
rif dimashq,jaramana,apartment,163,579359587,,seed,2026-03-02T23:31:27.557Z
rif dimashq,qudsaya project,house,185,1677732248,,seed,2025-12-19T04:52:02.557Z
damascus,kafr sousa,apartment,171,799591804,,seed,2026-01-14T23:58:06.557Z
rif dimashq,darayya,apartment,142,706007097,,seed,2025-12-05T08:32:44.557Z
damascus,abu rummaneh,house,112,867154122,,seed,2026-03-01T19:28:43.557Z
damascus,malki,villa,344,3653280000,,seed,2026-02-28T09:24:41.557Z
rif dimashq,jaramana,villa,301,1650580700,,seed,2026-01-27T22:28:09.557Z
rif dimashq,qudsaya project,apartment,132,1150252188,,seed,2026-02-01T16:52:18.557Z
damascus,mazzeh,apartment,125,593481117,,seed,2026-03-01T22:51:44.557Z
damascus,hay al ameen,apartment,82,637431031,,seed,2026-02-20T02:12:56.557Z
rif dimashq,qudsaya project,house,202,1305947723,,seed,2025-11-13T04:15:25.557Z
damascus,malki,villa,453,5493692835,,seed,2026-01-01T03:29:02.557Z
damascus,rukn al-din,apartment,82,263410987,,seed,2026-01-27T06:25:21.557Z
damascus,baghdad,apartment,102,953116075,,seed,2026-02-10T20:59:31.557Z
rif dimashq,qudsaya project,villa,192,2684701307,,seed,2025-12-26T07:51:50.557Z
damascus,kafr sousa,villa,330,2995825455,,seed,2026-02-17T17:22:20.557Z
damascus,malki,apartment,106,929919918,,seed,2025-12-28T10:53:38.557Z
rif dimashq,jadidat al sheibani,land,317,1193308782,,seed,2026-02-12T13:50:57.557Z
damascus,hay al ameen,apartment,97,637662480,,seed,2025-11-23T01:48:23.557Z
damascus,rukn al-din,apartment,209,829101274,,seed,2026-01-21T09:25:40.557Z
damascus,khaled ibn al walid,apartment,166,1583123172,,seed,2026-02-06T11:05:41.557Z
damascus,malki,apartment,116,1422490974,,seed,2025-11-04T14:40:02.557Z
damascus,midan,apartment,152,325128000,,seed,2026-01-26T13:08:07.557Z
damascus,abu rummaneh,villa,260,5018035357,,seed,2026-02-23T12:03:33.557Z
rif dimashq,sahnaya,house,171,889796021,,seed,2026-01-29T03:20:00.557Z
damascus,abu rummaneh,villa,516,5388588000,,seed,2026-01-15T01:09:53.557Z
damascus,rukn al-din,apartment,211,711826909,,seed,2026-02-23T13:51:39.557Z
damascus,khaled ibn al walid,studio,53,632117334,,seed,2026-03-01T15:29:28.557Z
damascus,mazzeh,apartment,204,1288213028,,seed,2026-02-07T17:35:05.557Z
rif dimashq,harasta,apartment,184,489296910,,seed,2026-01-10T20:53:06.557Z
damascus,shaalaan,apartment,106,1203906135,,seed,2026-01-28T10:06:05.557Z
damascus,mashrou dummar,apartment,214,2399460109,,seed,2026-01-01T09:29:44.557Z
rif dimashq,qudsaya project,apartment,200,1993781769,,seed,2026-01-06T19:27:33.557Z
damascus,mazzeh,apartment,148,820162712,,seed,2026-01-16T07:27:02.557Z
damascus,mashrou dummar,apartment,187,1874659632,,seed,2026-01-01T12:02:42.557Z
damascus,abu rummaneh,studio,37,476866122,,seed,2026-01-08T16:12:55.557Z
damascus,muhajireen,house,246,2025164885,,seed,2026-01-21T18:14:42.557Z
damascus,malki,apartment,155,1393309898,,seed,2026-02-19T21:25:00.557Z
damascus,rukn al-din,apartment,151,386698880,,seed,2026-02-13T04:56:25.557Z
rif dimashq,darayya,studio,37,301282416,,seed,2025-12-22T20:11:16.557Z
rif dimashq,sahnaya,apartment,205,1368848792,,seed,2026-01-21T06:56:18.557Z
damascus,mazzeh,apartment,189,913619377,,seed,2025-11-26T19:44:49.557Z
rif dimashq,artouz,apartment,180,1164572696,,seed,2026-01-21T17:11:07.557Z
rif dimashq,jadidat al sheibani,apartment,162,639241379,,seed,2026-02-27T04:55:58.557Z
rif dimashq,jadidat al sheibani,apartment,111,595755664,,seed,2026-01-24T06:19:25.557Z
damascus,rukn al-din,apartment,201,663284312,,seed,2025-11-26T16:23:52.557Z
damascus,mazzeh,apartment,99,522949633,,seed,2026-01-21T20:19:28.557Z
damascus,mazzeh,studio,40,201420958,,seed,2025-11-18T06:55:09.557Z
rif dimashq,jadidat al sheibani,house,120,639357182,,seed,2026-02-01T12:39:04.557Z
rif dimashq,mleiha,house,239,673955070,,seed,2025-12-05T20:19:23.557Z
damascus,abu rummaneh,villa,409,5196801457,,seed,2025-12-04T14:15:16.557Z
damascus,shaalaan,house,212,1622259810,,seed,2026-02-10T08:41:03.557Z
rif dimashq,artouz,apartment,102,650440948,,seed,2025-12-13T15:56:59.557Z
damascus,muhajireen,apartment,219,1760703603,,seed,2025-11-19T06:21:53.557Z
damascus,khaled ibn al walid,apartment,113,1227744610,,seed,2026-02-27T07:58:30.557Z
damascus,abu rummaneh,apartment,71,754398627,,seed,2026-01-05T00:23:44.557Z
rif dimashq,jaramana,land,724,1664252156,,seed,2025-12-04T16:56:18.557Z
rif dimashq,darayya,apartment,151,606358442,,seed,2025-12-26T11:10:15.557Z
damascus,abu rummaneh,villa,478,6302146759,,seed,2025-11-04T19:08:14.557Z
damascus,muhajireen,studio,51,601502615,,seed,2026-01-04T00:16:51.557Z
rif dimashq,qudsaya project,house,190,1061910000,,seed,2026-02-18T00:32:36.558Z
damascus,abu rummaneh,land,884,4068168000,,seed,2026-02-20T17:37:27.558Z
damascus,shaalaan,apartment,216,2539067608,,seed,2026-02-20T21:56:43.558Z
damascus,muhajireen,studio,59,465323265,,seed,2025-12-16T04:00:58.558Z
damascus,baghdad,apartment,196,1517980565,,seed,2026-02-05T07:53:09.558Z
damascus,midan,apartment,203,727668066,,seed,2025-12-03T18:00:21.558Z
rif dimashq,artouz,studio,37,196957641,,seed,2026-01-08T05:17:44.558Z
damascus,malki,apartment,100,797220000,,seed,2026-01-27T09:06:20.558Z
damascus,rukn al-din,apartment,167,683868758,,seed,2025-11-23T23:04:39.558Z
rif dimashq,mleiha,apartment,190,559102537,,seed,2025-12-15T19:08:12.558Z
rif dimashq,sahnaya,apartment,181,1037451326,,seed,2025-12-04T03:07:02.558Z
damascus,muhajireen,studio,51,515931671,,seed,2026-01-27T00:17:44.558Z
rif dimashq,qudsaya project,apartment,177,1896380948,,seed,2025-12-08T21:24:36.558Z
rif dimashq,jadidat al sheibani,apartment,193,789466500,,seed,2026-02-16T10:42:32.558Z
rif dimashq,harasta,house,256,783433728,,seed,2025-12-30T23:31:08.558Z
damascus,baghdad,apartment,113,1201681423,,seed,2025-12-26T20:12:07.558Z
damascus,kafr sousa,apartment,194,1156111423,,seed,2025-12-22T15:03:12.558Z
rif dimashq,jadidat al sheibani,apartment,157,797973833,,seed,2025-12-11T12:48:09.558Z
rif dimashq,jaramana,apartment,101,259622618,,seed,2025-12-27T13:33:45.558Z
damascus,shaalaan,apartment,109,1178343003,,seed,2026-01-18T22:55:59.558Z
damascus,kafr sousa,apartment,132,933246350,,seed,2025-12-14T00:47:57.558Z
damascus,khaled ibn al walid,apartment,121,1402136045,,seed,2025-12-15T22:59:29.558Z
damascus,khaled ibn al walid,apartment,200,1469549590,,seed,2025-12-12T07:39:15.558Z
damascus,muhajireen,villa,426,6048393958,,seed,2025-11-05T03:30:52.558Z
damascus,khaled ibn al walid,studio,26,254994422,,seed,2025-12-17T15:38:21.558Z
damascus,hay al ameen,apartment,163,1146611192,,seed,2026-02-16T17:37:38.558Z
damascus,shaalaan,apartment,81,800504648,,seed,2025-12-26T12:12:42.558Z
damascus,mashrou dummar,apartment,220,2098679555,,seed,2026-02-18T04:52:35.558Z
damascus,hay al ameen,villa,324,3220663680,,seed,2026-01-05T01:04:44.558Z
rif dimashq,mleiha,apartment,132,445425494,,seed,2026-03-01T05:06:23.558Z
damascus,midan,apartment,166,539968153,,seed,2026-02-28T21:09:52.558Z
rif dimashq,mleiha,house,172,335520951,,seed,2026-01-05T16:42:52.558Z
rif dimashq,sahnaya,studio,30,161790868,,seed,2026-01-11T01:40:24.558Z
damascus,mashrou dummar,apartment,70,692729306,,seed,2025-12-13T21:31:37.558Z
rif dimashq,sahnaya,house,151,625482627,,seed,2026-02-02T20:36:28.558Z
damascus,hay al ameen,apartment,163,1225334807,,seed,2025-12-19T20:48:33.558Z
rif dimashq,darayya,apartment,148,929727196,,seed,2026-02-26T03:25:14.558Z
damascus,shaalaan,apartment,194,1568193441,,seed,2025-12-02T07:12:44.558Z
rif dimashq,mleiha,apartment,158,344878349,,seed,2025-11-27T10:24:44.558Z
rif dimashq,sahnaya,apartment,72,327008757,,seed,2025-12-09T04:15:58.558Z
damascus,mazzeh,apartment,78,564482811,,seed,2026-01-06T22:32:04.558Z
rif dimashq,qudsaya project,house,176,1305397112,,seed,2026-01-23T23:07:05.558Z
rif dimashq,qudsaya project,apartment,208,2075317059,,seed,2026-02-20T14:43:27.558Z
rif dimashq,mleiha,studio,57,150405910,,seed,2026-01-11T07:35:47.558Z
damascus,mazzeh,apartment,149,647295035,,seed,2026-01-06T18:20:14.558Z
rif dimashq,qudsaya project,villa,386,3390494116,,seed,2025-12-15T15:29:29.558Z
damascus,rukn al-din,apartment,169,581867843,,seed,2026-01-24T06:18:41.558Z
damascus,kafr sousa,house,236,783081942,,seed,2026-01-14T03:21:25.558Z
rif dimashq,mleiha,house,101,333870985,,seed,2026-01-14T23:57:56.558Z
damascus,abu rummaneh,villa,287,4406730634,,seed,2025-12-12T07:20:42.558Z
rif dimashq,qudsaya project,apartment,101,938408216,,seed,2026-02-21T23:20:33.558Z
damascus,mazzeh,apartment,151,1224043255,,seed,2025-12-12T00:39:58.558Z
damascus,shaalaan,land,811,5344661208,,seed,2025-11-04T06:09:58.558Z
damascus,baghdad,apartment,73,699744822,,seed,2025-11-15T18:20:02.558Z
rif dimashq,jadidat al sheibani,apartment,175,973495384,,seed,2026-02-22T04:26:38.558Z
damascus,abu rummaneh,apartment,77,761678227,,seed,2025-11-15T19:17:25.558Z
rif dimashq,jadidat al sheibani,studio,55,300618396,,seed,2026-01-03T22:19:38.558Z
damascus,kafr sousa,apartment,176,903271677,,seed,2025-11-09T13:54:27.558Z
damascus,khaled ibn al walid,apartment,187,1431009274,,seed,2026-01-23T06:29:35.558Z
rif dimashq,qudsaya project,apartment,173,1689919637,,seed,2026-01-22T05:22:23.558Z
damascus,rukn al-din,apartment,128,291201600,,seed,2025-11-10T00:04:26.558Z
rif dimashq,qudsaya project,land,294,1294112421,,seed,2025-11-25T01:03:43.558Z
rif dimashq,sahnaya,apartment,117,492202522,,seed,2025-11-23T15:04:32.558Z
damascus,kafr sousa,house,227,1084275647,,seed,2025-11-17T01:41:48.558Z
damascus,shaalaan,apartment,218,1958529298,,seed,2026-02-03T14:43:41.558Z
damascus,abu rummaneh,apartment,102,816918826,,seed,2025-12-03T04:35:16.558Z
damascus,muhajireen,apartment,111,1004635280,,seed,2025-11-17T11:35:58.558Z
rif dimashq,darayya,house,170,806102266,,seed,2026-02-06T22:52:12.558Z
damascus,mazzeh,house,155,580320000,,seed,2025-11-21T02:16:12.558Z
rif dimashq,jadidat al sheibani,apartment,170,911944482,,seed,2025-12-27T06:12:21.558Z
damascus,rukn al-din,apartment,196,527899732,,seed,2025-12-07T17:29:01.558Z
damascus,abu rummaneh,apartment,128,1104153258,,seed,2025-11-04T01:59:35.558Z
rif dimashq,jadidat al sheibani,house,118,390816000,,seed,2026-02-28T06:12:05.558Z
rif dimashq,qudsaya project,land,469,2177839372,,seed,2025-12-30T08:38:27.558Z
damascus,malki,apartment,158,1566407707,,seed,2026-02-04T10:36:12.558Z
damascus,muhajireen,apartment,184,1543785182,,seed,2025-11-11T14:55:50.558Z
rif dimashq,jaramana,house,142,286075914,,seed,2025-11-14T22:07:09.558Z
damascus,shaalaan,apartment,128,997882843,,seed,2025-12-31T00:07:51.558Z
damascus,hay al ameen,apartment,170,1720653446,,seed,2026-01-10T03:02:43.558Z
rif dimashq,qudsaya project,apartment,134,1203497960,,seed,2025-12-05T16:08:57.558Z
rif dimashq,darayya,apartment,90,511043330,,seed,2025-11-18T07:50:24.558Z
damascus,khaled ibn al walid,apartment,175,1435314315,,seed,2025-12-03T23:11:07.558Z
damascus,rukn al-din,studio,55,187895484,,seed,2025-12-01T18:47:42.558Z
rif dimashq,jadidat al sheibani,apartment,82,635816990,,seed,2026-02-20T19:43:48.558Z
damascus,abu rummaneh,apartment,163,1996528600,,seed,2025-11-29T00:57:50.558Z
rif dimashq,sahnaya,land,834,2032964954,,seed,2025-12-09T18:07:43.558Z
damascus,hay al ameen,apartment,179,1497370943,,seed,2025-12-26T19:25:53.558Z
damascus,baghdad,studio,27,284198322,,seed,2026-02-14T07:11:31.558Z
rif dimashq,qudsaya project,house,118,1012712697,,seed,2026-02-25T22:52:10.558Z
rif dimashq,sahnaya,apartment,93,510832704,,seed,2026-02-03T22:58:35.558Z
damascus,mashrou dummar,apartment,139,1163067352,,seed,2026-02-17T14:45:11.558Z
damascus,mazzeh,apartment,214,1091602902,,seed,2026-01-02T04:27:05.558Z
rif dimashq,qudsaya project,apartment,206,1370921760,,seed,2026-02-04T22:11:08.558Z
damascus,kafr sousa,studio,39,183777750,,seed,2026-01-01T18:16:58.558Z
damascus,kafr sousa,villa,358,2857476595,,seed,2026-01-27T16:24:55.558Z
